timestamp,TC_ASRControlSts,BLCActive,TC_VDCShiftInterferenceValidData,TC_VDCShiftInterference,MasterCylinderPressureValidData,MasterCylinderPressure,CommandedSilenceRequest,ERMActive,RollsModeAct,HillHolderActive,TTCActive,HBAActive,PrefillActive
1589449618.7058988,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.7156913,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.725888,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.735979,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.7458994,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449618.7556872,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.765888,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.7756855,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.7858863,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.7958667,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.8061423,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.8156826,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.8258913,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.835684,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.845891,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.855686,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.8658907,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.875682,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.885891,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.8957157,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.9060853,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.91568,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.9262269,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.9356754,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.9458916,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.9568362,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.9664783,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.975675,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.9858978,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.9958847,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.0060399,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449619.0156782,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449619.025899,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.0356736,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.0458987,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.0556738,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.0658967,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.075672,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.0863345,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.095876,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449619.1059074,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.1156676,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.1259024,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.1356668,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.1459022,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.155709,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.1659021,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449619.1756694,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.185902,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.1958828,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.2059267,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449619.215664,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.2259023,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.235663,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.2461922,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.2556589,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.2659023,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.275658,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.286372,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.2970448,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.3071337,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.3168223,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449619.3270729,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.3368192,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.3470724,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449619.3568146,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.36707,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449619.376819,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449619.38707,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.3970563,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.407085,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449619.4168117,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449619.4270742,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449619.4368167,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449619.4470756,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.4556534,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449619.4659133,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.4756508,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.4859135,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.4959064,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.5059211,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.5156481,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.5259128,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.5356474,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.5459163,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449619.5556455,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.5659611,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.575643,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.585964,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.5959024,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.6062458,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.6156402,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.626181,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.6356416,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.6459186,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.6556792,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.6648183,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.6756542,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.686191,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.6959095,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.7059484,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.7156363,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.725921,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449619.7356336,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.7473588,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449619.7556386,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.7659218,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.7756376,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.7859259,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.7959025,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.8060155,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.8156347,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.8261194,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.8367941,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449619.8470771,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.8556287,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449619.8659177,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449619.8756294,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.8859184,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.8959072,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.9059136,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449619.9156246,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.9259171,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449619.9356241,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.9459193,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.955626,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.9659185,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.9756272,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.985917,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449619.995626,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.005913,0,0,0,0,0,14.75,0,0,0,0,0,0,0
