timestamp,BatteryVoltageLevelHP,StateOfCharge,VoltageMin,VoltageMax,BatteryCurrentLevel,BatteryTemperature,IBSFailSts,BCMSAMFailSts
1588751261.526649,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751261.726595,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751261.827437,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751261.026617,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751261.126604,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751261.226691,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751261.42693,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751261.626607,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751261.929267,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751262.726677,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751262.827047,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751262.926596,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751262.027534,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751262.126737,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751262.227117,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751262.3269,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751262.426876,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751262.526883,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751262.626742,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751263.026605,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751263.226731,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751263.326618,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751263.826775,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751263.929363,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751263.126596,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751263.429301,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751263.626695,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751263.526614,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751263.726613,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751264.426725,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751264.026539,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751264.126531,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751264.226523,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751264.32929,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751264.52667,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751264.627418,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751264.72652,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751264.826525,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751264.926674,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751265.227436,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751265.026604,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751265.129425,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751265.32652,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751265.426662,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751265.626622,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751265.52653,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751265.726658,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751265.829357,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751265.929347,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751266.026543,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751266.126518,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751266.229325,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751266.326668,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751266.426761,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751266.626602,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751266.726593,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751266.826648,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751266.929328,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751266.526642,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751267.626646,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751267.726599,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751267.826617,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751267.026604,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751267.126599,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751267.226602,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751267.326599,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751267.42685,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751267.526847,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751267.926791,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751268.026652,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751268.126792,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751268.22973,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751268.326598,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751268.426766,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751268.52684,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751268.626643,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751268.726963,4.0,0,10.6,14.8,-250.0,-30,0,0
